                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0291,                 2.3068,                  2.327,                 1.2507,                0.87425,                   0.35,                0.53908,                0.39281,                0.95365,                0.36635,                0.53834,                0.32404,                 1.6653,                 2.4619,                 1.6978,                 1.2569,                      0,                      0,                      0
                      2,                0.90064,                 2.2444,                 2.5084,                 1.2745,                0.87312,                   0.35,                0.52525,                0.38597,                0.95429,                 0.3666,                0.52473,                0.31299,                 1.6488,                 2.4542,                 1.6912,                 1.2485,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.1577,                 3.1488,                 2.7035,                 1.3659,                0.87355,                   0.35,                0.52523,                0.39413,                 0.9553,                 0.3666,                0.52471,                0.31728,                 1.6266,                  2.427,                 1.6572,                 1.2398,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                 1.1833,                 2.3983,                 2.4295,                 1.2229,                0.86739,                0.34548,                0.52143,                0.39559,                0.94627,                0.36215,                0.53628,                0.31794,                 1.6139,                 2.4438,                 1.6461,                 1.2349,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.0072,                  2.274,                 2.2168,                  1.197,                0.86277,                0.34158,                0.51449,                0.38998,                0.93877,                0.35769,                0.52788,                0.31064,                 1.6018,                 2.4389,                 1.6472,                 1.2289,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                 1.1359,                 2.0801,                 2.1941,                 1.2693,                0.85115,                0.34203,                0.52432,                0.39589,                0.92683,                0.35342,                0.53486,                0.31784,                 1.5959,                  2.436,                  1.652,                 1.2259,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.86433,                 2.4398,                 2.0287,                  1.145,                0.83925,                0.34119,                0.52433,                0.39592,                   0.91,                  0.351,                0.53455,                0.31777,                 1.5921,                 2.4346,                 1.6691,                 1.2229,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.3651,                 2.1739,                 2.6617,                 1.4435,                0.82754,                0.34083,                0.52213,                0.39601,                0.88565,                0.34877,                0.53518,                0.31372,                  1.589,                 2.4346,                 1.6599,                 1.2252,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                 1.3883,                 2.4028,                 2.1744,                 1.3299,                0.82788,                0.34438,                0.52484,                0.39655,                0.90428,                0.37361,                0.55033,                0.31536,                 1.5785,                 2.4321,                   1.66,                 1.2216,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                 1.1651,                 2.1261,                   2.03,                  1.319,                0.82621,                0.36264,                0.51777,                0.39182,                0.90327,                 0.3666,                0.53596,                0.30727,                 1.5804,                 2.4324,                 1.6703,                 1.2222,             1.1674e-06,             1.1674e-06,             1.1674e-06
