                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0756,                 3.8698,                 2.2094,                0.00036,                0.01897,                0.00021,                  6e-05,                 4.0206,                 4.9292,                 3.3136,             0.00011817,             0.00011817,             0.00011817
                      2,                 2.6593,                 3.3095,                 1.9182,                0.00069,                 0.0391,                0.00258,                0.00198,                 3.9708,                 4.9995,                 3.2477,               0.000243,               0.000243,               0.000243
                      3,                 2.3775,                 2.7961,                 1.6904,                 0.5933,                0.00562,                0.02448,                0.01238,                 3.5667,                 4.8591,                 2.9648,             0.00036531,             0.00036531,             0.00036531
                      4,                 2.1556,                 2.4787,                 1.5415,                0.19935,                0.08992,                  0.084,                 0.0452,                  2.849,                 3.9472,                 2.3408,              0.0004851,              0.0004851,              0.0004851
                      5,                 2.1354,                 2.4304,                   1.51,                0.25385,                0.16369,                0.13204,                0.06965,                 2.4463,                 3.2918,                 1.9464,             0.00060237,             0.00060237,             0.00060237
                      6,                 2.0462,                 2.2204,                 1.4534,                0.26076,                0.23836,                0.18886,                0.09565,                 2.1537,                 2.6853,                 1.6848,             0.00071712,             0.00071712,             0.00071712
                      7,                 1.9705,                 2.1076,                 1.4086,                0.37152,                  0.382,                0.29997,                0.15521,                 1.9483,                 2.1025,                 1.4581,             0.00082936,             0.00082936,             0.00082936
                      8,                 1.9347,                 2.0119,                 1.3837,                0.38849,                0.38247,                0.29633,                0.14487,                 1.8785,                 2.3067,                 1.3947,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.8798,                 1.9069,                 1.3572,                 0.4882,                0.38885,                0.36071,                0.18567,                 1.8375,                 1.9998,                 1.3534,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.8326,                  1.854,                 1.3386,                0.46802,                0.36907,                0.38223,                0.19792,                 1.8326,                 1.8881,                 1.3649,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.7835,                  1.777,                 1.3016,                0.60178,                0.40113,                0.46486,                  0.234,                 1.8033,                 1.7002,                 1.3048,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.7368,                 1.7265,                 1.2842,                0.60438,                0.38654,                0.42153,                0.22089,                  1.768,                  1.729,                  1.299,             0.00081901,             0.00081901,             0.00081901
                     13,                  1.743,                 1.6542,                 1.2677,                0.49591,                0.48043,                0.47363,                0.24329,                 1.7696,                 1.6795,                 1.2834,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.7573,                 1.6512,                 1.2824,                 0.5612,                0.47075,                0.47695,                0.24304,                 1.7821,                 1.6301,                 1.2904,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.7241,                 1.5846,                 1.2518,                0.58105,                0.48499,                  0.504,                0.26212,                 1.7765,                 1.6404,                  1.287,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.6901,                  1.549,                 1.2315,                0.60512,                0.48389,                0.52091,                0.27199,                 1.7399,                  1.562,                 1.2886,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.6837,                 1.5222,                 1.2404,                0.62096,                0.48632,                0.51519,                0.26228,                 1.7231,                 1.5816,                 1.2682,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.6701,                 1.4801,                 1.2303,                0.51693,                0.49798,                0.49317,                0.25912,                 1.7295,                 1.5682,                 1.2636,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.6568,                 1.5171,                 1.2295,                0.57925,                0.47641,                 0.4987,                0.26081,                 1.7113,                  1.587,                 1.2578,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.6179,                 1.4307,                 1.2032,                0.56741,                0.50468,                0.53959,                0.28841,                 1.6936,                 1.4814,                 1.2457,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.5944,                 1.3978,                  1.196,                0.63094,                 0.5218,                 0.5695,                0.29734,                 1.7193,                 1.4762,                 1.2419,             0.00073802,             0.00073802,             0.00073802
                     22,                 1.5917,                  1.411,                 1.1943,                0.55646,                0.50415,                 0.5486,                0.28805,                 1.7125,                 1.5577,                 1.2482,             0.00072902,             0.00072902,             0.00072902
                     23,                 1.5841,                 1.3434,                 1.1988,                0.70483,                0.52209,                0.56802,                0.29968,                 1.7123,                 1.4606,                 1.2505,             0.00072002,             0.00072002,             0.00072002
                     24,                 1.5705,                  1.385,                  1.193,                0.65554,                0.51425,                0.58727,                0.29467,                 1.6943,                 1.4956,                 1.2343,             0.00071102,             0.00071102,             0.00071102
                     25,                 1.5698,                 1.3562,                 1.1815,                0.60505,                0.52837,                0.55608,                 0.3003,                 1.6673,                 1.3958,                 1.2183,             0.00070202,             0.00070202,             0.00070202
                     26,                 1.6056,                 1.3791,                 1.1961,                0.61561,                0.48103,                0.54655,                 0.2945,                 1.6833,                 1.4764,                 1.2225,             0.00069302,             0.00069302,             0.00069302
                     27,                 1.5613,                 1.3155,                 1.1646,                0.60267,                0.49185,                0.54996,                  0.299,                 1.6671,                  1.422,                 1.2237,             0.00068402,             0.00068402,             0.00068402
                     28,                 1.5613,                 1.2898,                  1.177,                0.67103,                0.52194,                0.58655,                0.31934,                 1.6667,                 1.3778,                 1.2086,             0.00067502,             0.00067502,             0.00067502
                     29,                 1.5533,                 1.2674,                  1.153,                0.64642,                0.56765,                0.59872,                0.31631,                 1.6813,                 1.3564,                 1.2252,             0.00066602,             0.00066602,             0.00066602
                     30,                  1.567,                 1.3083,                 1.1635,                0.66943,                0.53512,                0.59644,                0.31428,                 1.6687,                 1.3405,                 1.2128,             0.00065703,             0.00065703,             0.00065703
                     31,                 1.5052,                  1.235,                 1.1574,                0.67033,                0.53872,                0.60954,                0.31819,                  1.662,                 1.3677,                 1.1942,             0.00064803,             0.00064803,             0.00064803
                     32,                 1.5365,                 1.2606,                  1.158,                0.59289,                0.56787,                0.59488,                0.31118,                 1.6788,                 1.3678,                  1.211,             0.00063903,             0.00063903,             0.00063903
                     33,                 1.5214,                 1.2351,                 1.1485,                0.67993,                0.55559,                0.60123,                0.31603,                   1.69,                 1.3375,                 1.2192,             0.00063003,             0.00063003,             0.00063003
                     34,                 1.5108,                 1.2335,                 1.1417,                0.66378,                0.55038,                0.58523,                0.31203,                 1.6911,                 1.3605,                 1.2089,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.4867,                 1.1764,                 1.1316,                0.69777,                0.54468,                0.59744,                0.31084,                 1.6879,                 1.3572,                 1.2167,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.5156,                 1.1876,                 1.1448,                0.68201,                0.55994,                0.59943,                0.32693,                 1.6304,                 1.3056,                 1.2008,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.4965,                 1.1866,                 1.1403,                0.68347,                0.55295,                0.60966,                 0.3239,                   1.65,                 1.3022,                 1.1959,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.4787,                 1.1696,                 1.1321,                0.59485,                0.58307,                0.60585,                 0.3213,                 1.6684,                 1.3014,                 1.2116,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.4901,                 1.2147,                 1.1422,                0.64975,                0.57565,                0.61668,                0.32242,                 1.6663,                 1.3458,                 1.2146,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.4659,                 1.1596,                 1.1377,                0.68795,                0.54284,                0.60385,                0.32092,                 1.6736,                  1.332,                 1.2104,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.4571,                 1.1546,                 1.1278,                0.69675,                0.52277,                0.60554,                 0.3324,                 1.6279,                 1.2712,                 1.2006,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.4758,                 1.1523,                 1.1244,                0.70095,                0.55122,                0.62522,                0.34069,                 1.6269,                 1.2988,                 1.1895,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.4474,                  1.126,                 1.1112,                0.72162,                 0.5347,                0.59845,                0.32522,                 1.7023,                 1.3357,                 1.2261,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.4723,                 1.1353,                 1.1277,                 0.6495,                0.55904,                0.61287,                   0.32,                 1.6409,                 1.3229,                 1.1966,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.4665,                 1.1318,                  1.112,                0.67551,                0.57816,                0.63582,                0.34732,                 1.6279,                 1.2401,                 1.1955,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.4221,                 1.1017,                 1.1079,                0.68639,                 0.5714,                0.63171,                0.33823,                 1.6295,                 1.2436,                 1.1951,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.4362,                  1.077,                 1.0998,                0.68273,                0.57705,                0.64944,                0.35077,                 1.6333,                 1.2622,                 1.1938,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.4381,                 1.1173,                 1.1088,                0.76273,                0.55781,                0.63884,                0.35079,                 1.5907,                 1.2384,                 1.1767,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.4128,                 1.0863,                 1.1013,                0.72428,                0.58106,                0.63738,                0.34451,                 1.6006,                  1.234,                 1.1822,             0.00048604,             0.00048604,             0.00048604
                     50,                  1.415,                  1.068,                 1.1035,                0.67732,                0.57562,                0.63183,                0.34452,                 1.5915,                 1.2214,                 1.1837,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.4369,                 1.1049,                 1.1067,                 0.6989,                0.58082,                0.65186,                0.34978,                 1.6148,                 1.2339,                 1.1939,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.4293,                 1.0681,                 1.1006,                0.69356,                0.58974,                0.65355,                0.35116,                 1.6174,                   1.26,                  1.188,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.4022,                 1.0583,                  1.084,                0.68382,                0.60752,                 0.6486,                0.35857,                 1.6434,                 1.2178,                 1.1942,             0.00045005,             0.00045005,             0.00045005
                     54,                   1.42,                 1.0781,                 1.1046,                0.65558,                0.59047,                0.63544,                0.35376,                 1.6172,                 1.2507,                 1.1776,             0.00044105,             0.00044105,             0.00044105
                     55,                 1.3887,                 1.0302,                 1.0865,                0.78318,                0.51508,                0.63628,                0.35471,                 1.6166,                 1.2458,                 1.1888,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.3957,                 1.0472,                 1.0868,                0.66631,                0.58218,                0.63408,                0.35198,                 1.6023,                 1.2309,                 1.1813,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.4296,                 1.0358,                  1.098,                0.73013,                0.55789,                0.64201,                0.35133,                 1.6152,                 1.2093,                 1.1897,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.4139,                 1.0388,                 1.0971,                0.67761,                0.58142,                 0.6422,                0.35702,                 1.6275,                 1.2162,                 1.1974,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.4173,                 1.0374,                 1.0863,                0.77998,                0.54817,                0.65516,                0.36913,                 1.5865,                 1.1946,                 1.1766,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.4194,                 1.0718,                  1.104,                0.67398,                0.56487,                0.62841,                0.34587,                 1.6431,                 1.2464,                 1.1931,             0.00038705,             0.00038705,             0.00038705
                     61,                 1.3937,                   1.01,                 1.0788,                0.74745,                0.55537,                0.65716,                0.36622,                  1.594,                 1.1869,                 1.1828,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.4011,                 1.0408,                 1.0834,                0.72711,                 0.5693,                 0.6522,                 0.3651,                 1.6317,                 1.2158,                 1.1899,             0.00036905,             0.00036905,             0.00036905
                     63,                 1.3644,                0.99043,                 1.0836,                0.71662,                0.60963,                0.67198,                0.37459,                 1.5847,                 1.1803,                 1.1767,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.3591,                 1.0142,                 1.0871,                0.73503,                 0.5849,                0.66161,                0.36723,                 1.6153,                 1.1772,                 1.1828,             0.00035106,             0.00035106,             0.00035106
                     65,                 1.3724,                 1.0082,                 1.0647,                 0.7141,                0.58201,                0.64869,                0.35862,                 1.6358,                  1.219,                 1.1899,             0.00034206,             0.00034206,             0.00034206
                     66,                 1.3814,                 1.0005,                 1.0808,                0.64806,                0.63346,                0.65121,                0.36965,                 1.5907,                 1.2006,                 1.1683,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.3492,                0.98212,                 1.0637,                0.69569,                0.60873,                0.66258,                0.36392,                  1.622,                 1.1708,                 1.1873,             0.00032406,             0.00032406,             0.00032406
                     68,                 1.3411,                 0.9731,                 1.0671,                0.67747,                0.60161,                0.65573,                0.36185,                 1.6004,                 1.1748,                  1.174,             0.00031506,             0.00031506,             0.00031506
                     69,                 1.3578,                0.97694,                 1.0729,                0.72152,                0.59433,                0.65786,                0.36806,                 1.5976,                 1.1626,                 1.1817,             0.00030606,             0.00030606,             0.00030606
                     70,                 1.3395,                0.98123,                 1.0742,                0.67119,                0.60644,                0.65256,                0.35971,                 1.6051,                 1.2028,                  1.181,             0.00029706,             0.00029706,             0.00029706
                     71,                 1.3545,                0.96534,                 1.0738,                0.69438,                0.61447,                0.66347,                0.36747,                 1.6044,                 1.1742,                 1.1806,             0.00028806,             0.00028806,             0.00028806
                     72,                 1.3357,                 0.9575,                 1.0606,                0.68457,                 0.6218,                0.66332,                0.36821,                 1.6151,                  1.182,                 1.1864,             0.00027906,             0.00027906,             0.00027906
                     73,                 1.3475,                0.94357,                 1.0659,                0.73363,                  0.626,                  0.673,                0.37721,                 1.5745,                 1.1764,                 1.1681,             0.00027006,             0.00027006,             0.00027006
                     74,                 1.3256,                 0.9309,                 1.0649,                0.71668,                0.61713,                0.66824,                0.37786,                 1.5724,                 1.1489,                 1.1684,             0.00026106,             0.00026106,             0.00026106
                     75,                 1.2885,                 0.9296,                 1.0452,                0.72306,                0.61744,                0.66724,                0.37739,                 1.5786,                 1.1502,                 1.1714,             0.00025207,             0.00025207,             0.00025207
                     76,                 1.3505,                0.97753,                 1.0821,                0.68882,                0.61115,                0.66496,                0.37212,                 1.5885,                 1.1548,                 1.1859,             0.00024307,             0.00024307,             0.00024307
                     77,                 1.3314,                0.94329,                 1.0668,                0.76431,                0.54349,                0.65466,                0.36579,                 1.6022,                 1.1569,                 1.1828,             0.00023407,             0.00023407,             0.00023407
                     78,                 1.3189,                0.94086,                 1.0557,                0.78679,                0.56541,                0.66675,                0.36828,                 1.6078,                 1.1416,                  1.187,             0.00022507,             0.00022507,             0.00022507
                     79,                 1.3318,                0.95553,                  1.073,                 0.6906,                0.60467,                0.66764,                0.37048,                 1.5968,                  1.137,                  1.182,             0.00021607,             0.00021607,             0.00021607
                     80,                 1.3247,                  0.952,                 1.0607,                0.71737,                0.60764,                0.67095,                0.37173,                 1.6026,                 1.1606,                 1.1804,             0.00020707,             0.00020707,             0.00020707
                     81,                  1.294,                0.94086,                 1.0652,                0.71983,                 0.5948,                0.67046,                0.37406,                 1.5907,                 1.1581,                 1.1801,             0.00019807,             0.00019807,             0.00019807
                     82,                 1.3433,                0.94367,                 1.0601,                0.73069,                0.59103,                0.67595,                0.37519,                 1.5923,                  1.143,                 1.1722,             0.00018907,             0.00018907,             0.00018907
                     83,                 1.3467,                0.96439,                 1.0637,                0.78775,                0.57183,                0.67237,                0.37017,                 1.5954,                 1.1494,                 1.1743,             0.00018007,             0.00018007,             0.00018007
                     84,                 1.3352,                0.93509,                  1.057,                0.80177,                 0.5769,                0.67522,                 0.3677,                 1.5828,                 1.1385,                 1.1743,             0.00017107,             0.00017107,             0.00017107
                     85,                 1.2902,                0.91159,                 1.0448,                0.74099,                0.60276,                0.67606,                0.37504,                 1.5815,                 1.1287,                 1.1702,             0.00016207,             0.00016207,             0.00016207
                     86,                 1.2886,                 0.9139,                 1.0497,                0.72312,                   0.62,                0.67938,                0.37506,                 1.5836,                 1.1382,                 1.1708,             0.00015308,             0.00015308,             0.00015308
                     87,                 1.2998,                0.91897,                 1.0481,                0.76551,                0.55875,                0.67209,                0.37551,                 1.5915,                 1.1447,                 1.1725,             0.00014408,             0.00014408,             0.00014408
                     88,                 1.3041,                0.91088,                 1.0412,                0.79348,                0.55501,                0.67404,                0.37592,                 1.5879,                 1.1338,                 1.1749,             0.00013508,             0.00013508,             0.00013508
                     89,                 1.2864,                0.90152,                 1.0489,                0.77273,                0.57835,                0.67812,                0.38108,                 1.5876,                 1.1234,                 1.1752,             0.00012608,             0.00012608,             0.00012608
                     90,                 1.3046,                0.90784,                 1.0486,                0.69236,                0.61394,                0.67255,                0.37804,                 1.5996,                 1.1315,                 1.1824,             0.00011708,             0.00011708,             0.00011708
                     91,                  1.256,                0.92953,                 1.0199,                0.73036,                0.58946,                0.67301,                0.37364,                 1.5942,                 1.1469,                 1.1784,             0.00010808,             0.00010808,             0.00010808
                     92,                 1.2505,                 0.8912,                 1.0174,                0.74488,                0.59956,                 0.6719,                0.36974,                 1.5964,                 1.2059,                 1.1775,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 1.2504,                0.86085,                 1.0121,                0.73823,                0.61214,                0.67697,                0.36712,                 1.5869,                 1.1627,                 1.1787,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                  1.232,                0.85189,                 1.0144,                0.78301,                0.57992,                0.66681,                0.36412,                 1.5813,                 1.1631,                 1.1748,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                  1.209,                0.83461,                 1.0091,                0.77252,                 0.5685,                0.66527,                0.36637,                 1.5818,                 1.1568,                 1.1729,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                  1.203,                0.82349,                 1.0063,                0.72078,                0.60732,                0.67168,                0.37146,                 1.5804,                 1.1529,                 1.1725,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                 1.2141,                0.81457,                 1.0058,                0.73198,                0.59725,                0.67802,                0.37417,                 1.5911,                 1.1556,                 1.1781,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                 1.2262,                0.82406,                 1.0193,                0.76958,                0.58611,                0.67867,                0.37337,                 1.5895,                 1.1569,                 1.1752,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 1.2126,                0.81326,                 1.0137,                0.78646,                0.58711,                0.68073,                0.37473,                 1.5859,                 1.1567,                 1.1728,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                 1.1953,                0.83319,                0.99995,                0.78031,                0.58537,                0.67631,                0.37342,                 1.5852,                 1.1542,                 1.1732,             2.7088e-05,             2.7088e-05,             2.7088e-05
